1.98E-01,2.25E-01,7.16E-02,4.55E-02,4.71E-02,5.29E-02,7.95E-02,1.85E-01,2.71E-01,1.75E-01,7.46E-02,2.08E-01,2.07E-01,1.33E-01,1.14E-01,4.26E-02,7.55E-02,9.20E-02,2.78E-01
1.97E-02,6.55E-03,8.27E-03,1.29E-02,1.46E-02,1.46E-02,2.22E-02,1.72E-02,6.04E-03,9.12E-03,9.19E-03,5.39E-03,1.24E-02,1.66E-02,1.20E-02,1.18E-02,9.26E-03,1.72E-02,1.50E-02
2.00E+00,2.06E+00,2.70E+00,3.18E+00,3.08E+00,2.78E+00,2.80E+00,2.47E+00,2.63E+00,2.75E+00,2.65E+00,2.32E+00,2.28E+00,2.83E+00,3.11E+00,3.09E+00,2.61E+00,2.59E+00,2.52E+00
2.30E-01,3.07E-01,1.50E-01,1.59E-01,1.54E-01,1.37E-01,1.52E-01,2.39E-01,3.16E-01,2.53E-01,1.54E-01,3.00E-01,2.56E-01,3.17E-01,3.14E-01,1.20E-01,1.44E-01,1.91E-01,3.36E-01
2.91E-01,3.20E-01,2.00E-01,1.81E-01,1.75E-01,1.70E-01,1.33E-01,2.13E-01,2.84E-01,3.01E-01,1.95E-01,3.37E-01,3.31E-01,2.94E-01,2.82E-01,1.40E-01,1.96E-01,2.39E-01,3.05E-01
3.57E-01,5.79E-01,3.31E-01,5.82E-01,5.27E-01,4.56E-01,1.17E+00,1.35E+00,1.63E+00,6.47E-01,3.55E-01,4.08E-01,1.66E-01,5.67E-01,9.10E-01,4.62E-01,4.07E-01,3.08E-01,8.80E-01
0.00E+00,1.26E-03,2.28E-03,1.16E-03,1.17E-03,1.27E-03,1.64E-03,4.09E-04,9.59E-04,9.09E-04,1.16E-03,1.41E-03,2.52E-03,8.01E-04,1.07E-03,1.33E-03,1.12E-03,2.41E-03,7.06E-04
7.00E-02,7.25E-02,7.52E-02,1.00E-01,8.05E-02,9.20E-02,1.61E-01,1.75E-01,3.51E-01,1.06E-01,7.85E-02,6.33E-02,6.07E-02,6.17E-02,1.81E-01,8.23E-02,8.18E-02,6.33E-02,1.54E-01
-2.25E+01,-2.32E+01,-2.29E+01,-2.16E+01,-2.11E+01,-2.17E+01,-2.03E+01,-2.05E+01,-2.13E+01,-2.23E+01,-2.26E+01,-2.33E+01,-2.40E+01,-2.30E+01,-2.18E+01,-2.23E+01,-2.30E+01,-2.23E+01,-2.20E+01
3.39E+00,2.84E+00,3.26E+00,1.98E+00,2.06E+00,3.04E+00,1.44E+00,3.08E-01,1.22E+00,2.45E+00,2.62E+00,2.92E+00,3.81E+00,3.03E+00,2.29E+00,2.75E+00,3.22E+00,3.01E+00,2.53E+00
