8.40E-02,5.21E-02,5.34E-02,8.30E-02,8.44E-02,8.65E-02,1.10E-01,9.19E-02,7.58E-02,1.44E-01
3.72E-02,4.32E-02,4.34E-02,2.85E-02,1.39E-02,4.16E-02,4.42E-02,2.39E-02,2.27E-02,1.97E-02
2.51E+00,3.15E+00,3.00E+00,2.47E+00,2.65E+00,2.55E+00,2.54E+00,2.82E+00,2.96E+00,2.57E+00
1.94E-01,1.78E-01,1.60E-01,1.76E-01,2.16E-01,2.06E-01,2.00E-01,1.90E-01,1.66E-01,1.78E-01
2.10E-01,1.97E-01,1.85E-01,2.19E-01,2.44E-01,2.52E-01,2.61E-01,2.16E-01,1.86E-01,2.16E-01
3.47E-01,5.48E-01,4.57E-01,1.93E-01,2.86E-01,1.78E-01,1.20E-01,5.54E-01,6.75E-01,3.83E-01
0.00E+00,9.20E-04,1.18E-03,8.01E-04,2.21E-03,2.29E-03,6.94E-04,2.92E-03,1.27E-03,8.53E-04
7.05E-02,9.75E-02,9.55E-02,6.38E-02,5.27E-02,6.45E-02,6.43E-02,8.03E-02,1.09E-01,8.10E-02
-2.09E+01,-2.00E+01,-1.98E+01,-2.15E+01,-2.25E+01,-2.13E+01,-2.17E+01,-2.10E+01,-2.05E+01,-2.11E+01
1.80E+00,1.97E+00,2.32E+00,2.78E+00,2.57E+00,2.74E+00,3.26E+00,1.95E+00,2.07E+00,2.65E+00
-4.96E-01,-8.16E-01,-7.07E-01,4.00E-01,7.47E-01,6.85E-01,9.44E-01,-4.42E-01,-8.50E-01,-2.41E-01
-8.89E-01,-5.30E-01,-9.41E-01,-1.52E+00,-5.16E-01,-8.11E-01,-7.83E-01,3.16E-01,3.29E-01,-4.54E-01
-1.70E-01,-3.28E-01,-4.44E-01,-5.79E-01,-3.21E-01,-8.42E-01,-1.09E+00,-3.50E-01,-1.42E-01,1.26E-01
-5.74E-01,-4.91E-01,-6.96E-01,-5.01E-01,-1.09E+00,-8.95E-01,-3.47E-01,-1.25E-01,-9.97E-02,-3.89E-01
-2.46E-01,-3.17E-01,-2.08E-01,5.53E-02,3.16E-01,2.93E-01,1.49E-01,-8.93E-02,6.51E-02,3.21E-01
-8.08E-01,-6.89E-01,-3.84E-01,-4.98E-02,1.09E-01,5.78E-02,7.07E-02,-3.87E-01,-3.64E-01,-2.46E-01
-6.29E-01,-3.90E-01,-1.25E-01,-4.05E-01,-2.39E-01,-5.51E-01,-3.46E-01,3.89E-02,4.73E-02,-2.10E-01
-1.06E+00,-9.15E-01,-8.69E-01,-8.57E-01,-4.88E-01,-6.60E-01,-6.08E-01,-1.40E-01,-1.44E-01,-8.67E-02
-5.02E-01,-4.11E-01,-9.42E-01,-9.09E-01,-4.13E-01,-8.22E-01,-9.29E-01,-3.70E-01,-2.76E-01,-3.31E-01
-2.21E-01,1.57E-02,-3.93E-01,-6.74E-01,-5.77E-01,-4.96E-01,-3.72E-01,-3.80E-01,-3.75E-01,-2.38E-01
3.62E-01,3.61E-01,-2.85E-01,-5.05E-01,-8.55E-01,-2.95E-01,-3.96E-02,-7.34E-01,-8.10E-01,-9.85E-01
4.36E-04,1.33E-04,9.74E-03,1.10E-02,5.94E-03,3.39E-03,2.43E-03,4.46E-03,1.72E-02,6.20E-03
5.82E-03,4.59E-03,3.74E-03,1.15E-02,2.21E-03,2.47E-03,2.77E-03,7.00E-04,7.83E-04,1.21E-03
2.63E-02,2.41E-03,2.17E-02,1.39E-02,2.79E-03,2.32E-02,2.32E-02,1.31E-03,7.89E-04,7.90E-04
1.33E-02,1.36E-02,2.51E-02,6.98E-03,2.42E-04,3.62E-03,3.51E-03,6.01E-04,6.85E-04,7.70E-04
5.13E-03,8.13E-03,2.70E-03,6.43E-04,1.61E-04,3.32E-04,3.27E-04,2.87E-04,1.01E-03,6.46E-04
1.18E-03,3.32E-03,8.23E-04,1.30E-04,1.89E-04,1.24E-04,3.04E-04,5.57E-04,2.87E-03,9.35E-04
3.95E-04,3.96E-04,5.07E-04,2.05E-04,2.28E-04,5.75E-04,6.10E-04,2.77E-04,1.30E-03,1.55E-03
9.29E-05,6.16E-04,7.07E-04,8.45E-04,5.32E-04,2.67E-04,4.83E-04,3.02E-04,5.72E-04,1.68E-03
3.93E-04,6.16E-04,1.01E-03,3.45E-04,2.32E-03,2.97E-04,8.70E-04,2.65E-03,6.90E-04,4.08E-03
6.75E-04,1.24E-03,2.55E-03,4.93E-04,2.05E-03,1.30E-03,1.64E-03,4.52E-03,2.82E-03,1.19E-02
3.00E-04,8.10E-04,4.81E-03,1.22E-02,9.83E-03,6.09E-03,8.18E-02,7.61E-02,6.42E-03,6.01E-02
4.58E-04,6.61E-04,1.78E-02,3.06E-02,1.08E-02,1.54E-02,8.05E-03,8.49E-03,5.06E-02,5.29E-02
7.55E-03,3.90E-03,8.52E-03,8.77E-03,3.59E-03,6.93E-03,2.24E-02,2.06E-02,1.39E-02,2.03E-02
1,1,1,1,1,1,1,1,1,1
