2.41E-01,2.38E-01,4.71E-02,4.51E-02,6.00E-02,6.03E-02,6.04E-02,1.12E-01,1.61E-01,1.50E-01,9.70E-02,1.71E-01,2.16E-01,1.40E-01,1.18E-01,9.53E-02,1.58E-01,1.36E-01,1.26E-01,2.81E-01
4.86E-02,3.01E-02,1.43E-02,2.90E-02,3.16E-02,2.71E-02,3.46E-02,2.69E-02,1.42E-02,1.41E-02,1.48E-02,9.70E-03,1.46E-02,1.73E-02,1.29E-02,2.44E-02,2.88E-02,2.73E-02,2.28E-02,1.13E-02
2.29E+00,1.91E+00,2.46E+00,2.79E+00,2.90E+00,2.89E+00,2.99E+00,2.83E+00,2.67E+00,2.64E+00,2.80E+00,2.44E+00,2.20E+00,2.60E+00,2.98E+00,2.84E+00,2.64E+00,2.87E+00,2.92E+00,2.45E+00
2.44E-01,3.05E-01,1.27E-01,1.44E-01,1.61E-01,1.59E-01,1.57E-01,2.21E-01,2.60E-01,2.29E-01,1.89E-01,2.35E-01,2.50E-01,3.23E-01,3.11E-01,1.96E-01,2.54E-01,2.64E-01,2.60E-01,3.75E-01
3.06E-01,3.42E-01,1.84E-01,1.80E-01,1.79E-01,1.75E-01,1.70E-01,2.28E-01,2.55E-01,2.68E-01,2.52E-01,2.92E-01,3.17E-01,3.06E-01,2.81E-01,2.28E-01,2.65E-01,2.73E-01,2.72E-01,3.05E-01
8.80E-01,8.64E-01,1.87E-01,3.73E-01,6.82E-01,7.34E-01,8.67E-01,1.21E+00,1.37E+00,4.39E-01,2.85E-01,4.35E-01,2.18E-01,5.09E-01,9.62E-01,5.60E-01,1.06E+00,1.00E+00,5.23E-01,1.16E+00
0.00E+00,8.44E-04,2.10E-03,1.74E-03,1.35E-03,1.07E-03,1.28E-03,7.64E-04,5.17E-04,1.28E-03,1.36E-03,8.18E-04,2.60E-03,4.19E-04,1.11E-03,8.36E-04,4.46E-04,8.42E-04,8.82E-04,8.68E-04
1.17E-01,1.14E-01,6.85E-02,6.93E-02,1.07E-01,1.11E-01,1.18E-01,1.43E-01,1.50E-01,8.10E-02,5.32E-02,7.93E-02,6.07E-02,6.10E-02,3.22E-01,9.50E-02,1.48E-01,1.19E-01,9.05E-02,4.74E-01
-2.08E+01,-2.16E+01,-2.24E+01,-2.12E+01,-1.98E+01,-1.98E+01,-2.02E+01,-1.99E+01,-2.03E+01,-2.19E+01,-2.25E+01,-2.23E+01,-2.27E+01,-2.32E+01,-2.16E+01,-1.99E+01,-1.97E+01,-2.02E+01,-2.16E+01,-2.20E+01
2.79E+00,2.51E+00,3.87E+00,2.30E+00,1.80E+00,1.98E+00,2.02E+00,1.57E+00,1.35E+00,2.17E+00,2.88E+00,2.77E+00,3.38E+00,3.24E+00,2.49E+00,2.53E+00,2.04E+00,2.13E+00,2.64E+00,2.11E+00
-2.22E+00,-1.08E+00,-6.55E-01,-1.15E+00,-1.02E+00,-1.00E+00,-1.79E+00,-1.84E+00,-1.21E+00,-1.12E-01,-6.37E-01,-8.17E-01,4.02E-01,1.45E+00,-6.32E-02,-4.29E-01,-8.36E-01,-1.10E+00,-3.93E-01,-1.48E-01
-6.19E-01,-2.20E-01,-1.25E+00,-1.15E-01,-4.50E-01,-6.43E-01,1.61E-01,5.33E-02,-1.46E-01,-4.35E-01,7.59E-03,-2.42E-01,-1.11E+00,-1.56E+00,-8.38E-01,-4.46E-01,-5.32E-02,-2.23E-01,-8.49E-01,-6.90E-01
-7.17E-01,-3.54E-01,1.45E-01,-5.89E-01,-5.17E-01,-5.02E-01,-5.03E-01,6.66E-03,-5.02E-02,-1.19E-01,7.61E-02,7.29E-02,-4.07E-01,-3.50E-01,1.87E-01,-6.32E-01,-8.53E-01,-4.75E-01,6.42E-02,-2.78E-01
-1.95E+00,-1.13E+00,-8.22E-01,1.08E-01,-6.34E-03,6.38E-02,-2.61E-01,-9.45E-01,-7.44E-01,-3.65E-01,-5.85E-01,-8.72E-02,-1.17E-01,-7.20E-01,-7.47E-01,-5.41E-01,-9.48E-01,-5.80E-01,-6.30E-01,-3.13E-01
-1.77E-01,4.86E-01,4.19E-01,1.69E-01,-3.84E-01,-5.04E-01,2.31E-01,1.98E-02,-4.20E-01,-3.45E-01,7.74E-02,-1.29E-01,-4.37E-01,1.67E-01,3.17E-01,-4.86E-01,-7.71E-01,-2.90E-01,3.85E-01,4.00E-01
