6.23E-02,5.93E-02,8.78E-02,8.08E-02,1.06E-01,1.20E-01,1.18E-01,9.51E-02,1.02E-01,1.07E-01,1.03E-01,1.22E-01
4.25E-02,6.05E-02,5.38E-02,3.48E-02,2.37E-02,3.31E-02,3.39E-02,4.12E-02,3.06E-02,1.73E-02,1.52E-02,2.13E-02
2.66E+00,3.23E+00,2.82E+00,2.28E+00,2.65E+00,2.60E+00,2.56E+00,2.88E+00,2.72E+00,2.94E+00,2.82E+00,2.58E+00
1.36E-01,1.65E-01,1.93E-01,1.98E-01,2.64E-01,2.52E-01,2.14E-01,2.00E-01,1.78E-01,1.68E-01,1.40E-01,1.77E-01
2.00E-01,1.90E-01,2.07E-01,2.27E-01,2.98E-01,2.93E-01,2.65E-01,2.28E-01,1.86E-01,1.90E-01,1.84E-01,2.18E-01
1.00E-01,6.01E-01,7.64E-01,3.16E-01,4.72E-01,3.42E-01,1.72E-01,7.40E-01,9.22E-01,8.14E-01,6.14E-01,1.87E-01
0.00E+00,2.68E-03,1.15E-03,7.12E-04,1.49E-03,6.51E-04,1.16E-03,1.51E-03,5.29E-04,1.17E-03,6.23E-04,1.79E-03
5.70E-02,1.08E-01,1.13E-01,7.30E-02,7.45E-02,7.05E-02,6.48E-02,1.23E-01,1.49E-01,1.23E-01,1.16E-01,8.35E-02
-2.24E+01,-1.90E+01,-1.88E+01,-2.10E+01,-2.08E+01,-2.07E+01,-2.21E+01,-1.93E+01,-1.95E+01,-2.03E+01,-2.17E+01,-2.20E+01
3.30E+00,2.08E+00,2.15E+00,2.92E+00,3.00E+00,3.08E+00,3.34E+00,2.24E+00,1.82E+00,2.31E+00,3.61E+00,2.79E+00
2.93E-01,-8.70E-01,-5.57E-01,9.22E-02,3.35E-02,2.44E-01,1.20E+00,-3.89E-01,-5.55E-01,-1.20E+00,-1.79E+00,1.29E-01
-2.02E-01,-4.02E-01,-5.42E-01,-1.57E+00,-1.02E+00,-1.27E+00,-1.04E+00,-2.74E-02,2.43E-01,-3.93E-01,-5.89E-01,-1.35E+00
-5.73E-01,-3.54E-01,-1.13E-01,-4.33E-01,-4.24E-01,-5.68E-01,-7.24E-01,-5.24E-01,-3.65E-01,-2.34E-01,-6.24E-03,-2.67E-01
-9.27E-01,-8.27E-01,-8.05E-01,-1.23E+00,-6.60E-01,-2.53E-01,-4.18E-01,-2.33E-01,-2.09E-01,-4.04E-01,-7.36E-01,-5.26E-01
7.63E-01,-6.22E-01,-5.46E-01,1.31E-01,-2.98E-01,-3.14E-01,5.39E-01,1.03E-02,-4.15E-01,-1.03E+00,-8.83E-01,-6.73E-01
-2.30E-01,-3.27E-01,-2.82E-01,-2.42E-01,-1.10E-01,-4.04E-01,1.18E-01,-2.27E-01,-6.81E-01,-5.67E-01,-5.08E-01,-9.37E-01
-1.83E-01,-4.08E-01,-2.42E-01,-4.17E-01,-5.98E-01,-5.19E-01,-1.93E-01,7.90E-02,-2.63E-01,-2.72E-01,-1.67E-02,-3.59E-01
-5.91E-01,-5.97E-01,-3.51E-01,-1.85E-01,-4.86E-01,-7.80E-01,-8.11E-01,-7.16E-01,-7.24E-01,-4.93E-01,-5.86E-01,4.13E-01
-9.17E-01,6.30E-03,5.06E-01,2.96E-01,-1.18E-04,-4.24E-01,-8.82E-01,-5.84E-01,-4.75E-01,1.13E-01,2.56E-01,3.28E-01
-1.01E+00,-4.08E-01,4.71E-02,-2.52E-02,-1.89E-01,-2.03E-03,-5.26E-01,-5.86E-01,-4.08E-01,1.60E-01,-7.74E-02,3.87E-01
-5.94E-01,-3.40E-01,-2.11E-01,-4.46E-01,-2.06E-01,8.66E-02,-8.47E-02,-3.60E-01,-2.84E-01,-3.60E-01,-8.78E-01,-8.87E-01
7.10E-02,3.96E-02,7.76E-03,6.68E-03,7.75E-03,2.65E-03,5.25E-03,5.14E-03,1.24E-02,1.31E-03,2.51E-03,1.80E-03
